Gene stable ID,Gene name,Gene start (bp),Gene end (bp)
ENSG00000229168,RPL19P20,44649129,44649719
ENSG00000214016,RPSAP61,44741087,44741964
ENSG00000286349,AC108471.3,39614465,39618488
ENSG00000242065,RN7SL291P,44772773,44773061
ENSG00000189037,DUSP21,44844021,44844888
ENSG00000252796,RNU7-11P,39621012,39621073
ENSG00000255458,AC108471.2,39639107,39666879
ENSG00000078140,UBE2K,39698109,39782792
ENSG00000070501,POLB,42338454,42371808
ENSG00000147050,KDM6A,44873188,45112779
ENSG00000112293,GPLD1,24424565,24495205
ENSG00000167969,ECI1,2239402,2252300
ENSG00000259418,AC091117.2,45041716,45058707
ENSG00000252171,Y_RNA,45047103,45047215
ENSG00000259352,AC091117.1,45073492,45074048
ENSG00000140279,DUOX2,45092650,45114172
ENSG00000252975,Y_RNA,39710085,39710176
ENSG00000249019,AC108471.1,39713842,39714451
ENSG00000243260,RN7SL558P,39761000,39761298
ENSG00000180610,ZBTB12BP,39770081,39771371
ENSG00000158122,PRXL2C,96639577,96655317
ENSG00000250132,AC004803.1,974133,991190
ENSG00000121892,PDS5A,39822863,39977956
ENSG00000224848,AL589843.1,96687050,96774318
ENSG00000233820,AL589843.2,96725890,96727469
ENSG00000081386,ZNF510,96755865,96778129
ENSG00000140274,DUOXA2,45114326,45118421
ENSG00000261663,AC009065.8,2240487,2241818
ENSG00000196597,ZNF782,96816269,96875623
ENSG00000147113,DIPK2B,45148373,45200901
ENSG00000196312,MFSD14C,96887373,97013708
ENSG00000229491,AC136489.1,45183251,45333917
ENSG00000099817,POLR2E,1086574,1095380
ENSG00000140254,DUOXA1,45117367,45129938
ENSG00000237782,PLLPP1,45381527,45381995
ENSG00000229563,LINC01204,45505388,45632121
ENSG00000112294,ALDH5A1,24494867,24537207
ENSG00000214282,KRT8P14,45632292,45633733
ENSG00000204915,MFFP3,45730752,45731688
ENSG00000270069,MIR222HG,45745211,45770274
ENSG00000269907,PTMAP11,96910076,96910405
ENSG00000207870,MIR221,45746157,45746266
ENSG00000207725,MIR222,45747015,45747124
ENSG00000227257,AL158827.1,96918928,96919318
ENSG00000269902,AC234772.1,45764772,45765299
ENSG00000231566,LINC02595,45847042,45851541
ENSG00000188152,NUTM2G,96928310,96940253
ENSG00000212347,AL031584.1,45892912,45892979
ENSG00000215286,SRSF6P1,45913118,45913871
ENSG00000234613,AL031584.2,45913267,45917040
ENSG00000224701,MED28P4,45951762,45952333
ENSG00000082805,ERC1,990509,1495933
ENSG00000213100,KRT18P68,45983365,45984364
ENSG00000214009,PCNAP3,46058751,46059528
ENSG00000278838,Metazoa_SRP,46073651,46073935
ENSG00000236751,LINC01186,46256759,46327680
ENSG00000229145,ACTBP1,46288016,46289128
ENSG00000286306,AL139811.1,46400686,46402957
ENSG00000231235,CTNNBL1P1,46418450,46420079
ENSG00000235587,GAPDHP65,46439709,46440714
ENSG00000205937,RNPS1,2253116,2268397
ENSG00000240395,RPL5P23,42341767,42342634
ENSG00000104371,DKK4,42374063,42377229
ENSG00000271278,ELOCP33,39932454,39933561
ENSG00000252970,RNA5SP159,39936753,39936855
ENSG00000147121,KRBOX4,46447292,46497422
ENSG00000250568,AC098591.3,39973128,39973442
ENSG00000231707,PABPC1P1,39973444,39974338
ENSG00000236745,YRDCP2,96954820,96955461
ENSG00000249064,KRT18P25,40020240,40021517
ENSG00000205794,AC098591.2,40042917,40057199
ENSG00000136943,CTSV,97029677,97039643
ENSG00000078668,VDAC3,42391624,42405937
ENSG00000078177,N4BP2,40056850,40158252
ENSG00000122565,CBX3,26201162,26213607
ENSG00000167468,GPX4,1103926,1106791
ENSG00000197214,TCEA1P1,97067749,97068628
ENSG00000228376,GAS2L1P2,97075671,97081945
ENSG00000228038,VN1R51P,97093694,97094638
ENSG00000213612,FAM220CP,97121659,97122489
ENSG00000277103,AL445670.1,97151894,97152694
ENSG00000159712,ANKRD18CP,97156570,97221235
ENSG00000224072,VEZTP1,46454097,46457199
ENSG00000252721,RNU6-798P,97192923,97193025
ENSG00000242375,AL590705.3,97195351,97197687
ENSG00000188801,ZNF322P1,97198303,97199511
ENSG00000251192,ZNF674,46497727,46545457
ENSG00000203279,AL590705.1,97200475,97238745
ENSG00000235494,AL590705.2,97222602,97235017
ENSG00000200455,RNU6-1112P,40077884,40077982
ENSG00000201863,AC098591.1,40082983,40083106
ENSG00000248977,AC095057.1,40142198,40142365
ENSG00000255036,STRA6LP,97238497,97377287
ENSG00000260296,AC095057.3,40166675,40167831
ENSG00000286089,AC095057.4,40187170,40190464
ENSG00000199226,RNU6-50P,46517766,46517868
ENSG00000230844,ZNF674-AS1,46545438,46548841
ENSG00000137261,KIAA0319,24544104,24646191
ENSG00000168421,RHOH,40191053,40246967
ENSG00000277721,Metazoa_SRP,46553522,46553775
ENSG00000270499,MKI67P1,46560928,46562749
ENSG00000147119,CHST7,46573765,46598496
ENSG00000285860,AC010677.2,26226413,26254709
ENSG00000232383,AC010677.1,26276195,26276606
ENSG00000065923,SLC9A7,46599251,46759118
ENSG00000086300,SNX10,26291862,26374383
ENSG00000064932,SBNO2,1107637,1174268
ENSG00000168575,SLC20A2,42416475,42541926
ENSG00000137857,DUOX1,45129933,45165576
ENSG00000213997,PGAM1P7,46646594,46647330
ENSG00000226048,YBX1P8,46684765,46685707
ENSG00000225792,AC004540.2,26369310,26376701
ENSG00000215284,CHMP5P1,46725164,46725818
ENSG00000102218,RP2,46837043,46882358
ENSG00000253054,RNU7-77P,35135443,35135502
ENSG00000233343,ATP6V1G1P4,35158306,35158640
ENSG00000269952,AL117336.1,35210416,35210750
ENSG00000214870,AC004540.1,26398593,26497595
ENSG00000233200,LINC02634,35219894,35230598
ENSG00000253070,RNU6-794P,35231331,35231394
ENSG00000204904,LINC01545,46887417,46899703
ENSG00000254131,AC093367.1,42484600,42485019
ENSG00000254165,AC090739.1,42537529,42538304
ENSG00000250338,AC095057.2,40265472,40266457
ENSG00000102221,JADE3,46912276,47061242
ENSG00000218186,KRT8P43,24598012,24599790
ENSG00000108100,CCNY,35247025,35572669
ENSG00000176209,SMIM19,42541155,42555195
ENSG00000111802,TDP2,24649979,24666930
ENSG00000249241,LINC02265,40316485,40330419
ENSG00000174343,CHRNA9,40335333,40355217
ENSG00000122548,KIAA0087,26533121,26538788
ENSG00000280255,AC004947.2,26538378,26541048
ENSG00000233760,AC004947.1,26551686,26558880
ENSG00000239010,RNU7-74P,40377452,40377513
ENSG00000112304,ACOT13,24667035,24705065
ENSG00000286507,AC004947.3,26598600,26617295
ENSG00000147432,CHRNB3,42697366,42737407
ENSG00000222004,LINC02860,26637871,26647305
ENSG00000272345,AL031775.1,24700907,24701793
ENSG00000163694,RBM47,40423267,40630875
ENSG00000112308,C6orf62,24704861,24719998
ENSG00000130988,RGN,47078355,47093314
ENSG00000118046,STK11,1177558,1228431
ENSG00000005020,SKAP2,26667068,26995239
ENSG00000255101,AC103843.1,42705583,42721946
ENSG00000272402,AL031775.2,24706747,24707151
ENSG00000255361,AC103843.2,42725547,42726228
ENSG00000224164,LINC02828,24721658,24751960
ENSG00000147434,CHRNA6,42752620,42796392
ENSG00000218806,AL133264.1,24750671,24751625
ENSG00000112312,GMNN,24774931,24786099
ENSG00000254876,SUGT1P4-STRA6LP,97238449,97297314
ENSG00000131931,THAP1,42836674,42843325
ENSG00000254483,SUGT1P4,97238645,97246184
ENSG00000254633,AL512590.2,97276569,97295765
ENSG00000206685,RNU6-1189P,47087506,47087612
ENSG00000201659,RNU12-2P,47132671,47132826
ENSG00000147123,NDUFB11,47142216,47145038
ENSG00000286837,AC087533.1,42842989,42844876
ENSG00000197816,CCDC180,97307304,97378751
ENSG00000120925,RNF170,42849637,42897290
ENSG00000267736,HMGB2P1,1203209,1203842
ENSG00000182872,RBM10,47145221,47186813
ENSG00000200097,RNU6-1167P,35250959,35251052
ENSG00000271335,AL117336.2,35314552,35336401
ENSG00000099625,CBARP,1228287,1238027
ENSG00000250893,AC098869.2,40426119,40427585
ENSG00000287945,AL603824.1,35443411,35444569
ENSG00000242197,AC098869.1,40491733,40492024
ENSG00000273312,AL121749.1,35604485,35608153
ENSG00000275811,HTR1DP1,1151810,1153059
ENSG00000263642,MIR4802,40502040,40502119
ENSG00000287182,AC131953.2,40743627,40750865
ENSG00000249028,AC004672.1,1380060,1391502
ENSG00000221269,MIR1302-8,97363554,97363681
ENSG00000177291,GJD4,35605341,35608935
ENSG00000228957,AL512590.1,97386240,97396112
ENSG00000267285,AC004672.2,1385833,1386987
ENSG00000286375,AL512590.3,97403709,97411908
ENSG00000249628,LINC00942,1500525,1504424
ENSG00000177283,FZD8,35638249,35642278
ENSG00000179299,NSUN7,40749925,40811184
ENSG00000196116,TDRD7,97412096,97496125
ENSG00000213787,RPL7AP38,26922110,26922912
ENSG00000287528,AL121749.2,35641097,35647826
ENSG00000270062,AL606834.2,50723777,50724272
ENSG00000284265,MIR4683,35641172,35641252
ENSG00000226059,HMGB3P20,26982768,26983367
ENSG00000258843,AL133485.2,50821880,50823501
ENSG00000226646,RPL7P37,35697300,35698037
ENSG00000214869,TPM3P4,27023737,27024907
ENSG00000285747,AL133485.3,50831962,50838100
ENSG00000280719,PCAT5,35778302,35800920
ENSG00000213786,NHP2P2,27048169,27048628
ENSG00000227313,LINC02630,35896874,35898963
ENSG00000252945,AL133485.1,50844625,50844712
ENSG00000258687,AL358334.1,50848122,50865659
ENSG00000227475,AL355300.1,36089086,36089389
ENSG00000236626,MTND5P17,36432882,36434484
ENSG00000111186,WNT5B,1529891,1647212
ENSG00000242719,RN7SL806P,42881236,42881517
ENSG00000105991,HOXA1,27092993,27096000
ENSG00000228694,MTND4P18,36434710,36435174
ENSG00000284062,MIR4469,42896197,42896275
ENSG00000260286,ARMH2,24797335,24798917
ENSG00000237002,AL590730.1,36438616,36442392
ENSG00000100504,PYGL,50857891,50944483
ENSG00000168172,HOOK3,42896946,43030535
ENSG00000282804,AL512428.1,24797373,24809798
ENSG00000274458,AL590730.2,36438661,36438788
ENSG00000267778,AC004221.1,1238179,1239522
ENSG00000229644,NAMPTP1,36521721,36524234
ENSG00000136842,TMOD1,97501180,97601743
ENSG00000259539,AC051619.5,45152664,45167526
ENSG00000207271,Y_RNA,36626015,36626138
ENSG00000238176,AL390061.1,36940109,36943932
ENSG00000233429,HOTAIRM1,27095647,27100265
ENSG00000233533,MKNK2P1,36944111,36944738
ENSG00000225355,ARL6IP1P2,36995023,36995585
ENSG00000276528,AC004079.3,27096124,27096248
ENSG00000138606,SHF,45167214,45201175
ENSG00000276771,AC004079.4,27098900,27099114
ENSG00000274864,AC004079.2,27099778,27099836
ENSG00000099624,ATP5F1D,1241746,1244825
ENSG00000274396,AC004079.1,27099856,27099957
ENSG00000277694,AC004079.5,27099967,27100111
ENSG00000248780,ARL4AP2,40786110,40786710
ENSG00000105996,HOXA2,27100354,27102686
ENSG00000148513,ANKRD30A,37125725,37384111
ENSG00000105997,HOXA3,27106184,27152581
ENSG00000228174,AL162385.1,97512706,97517836
ENSG00000171823,FBXL14,1565993,1594581
ENSG00000202514,Y_RNA,42949388,42949495
ENSG00000136925,TSTD2,97600080,97633368
ENSG00000254673,AC110275.1,43018424,43077334
ENSG00000266043,MIR3649,1660315,1660380
ENSG00000006831,ADIPOR2,1688574,1788674
ENSG00000237351,ITPK1P1,47156638,47158199
ENSG00000168522,FNTA,43034194,43085788
ENSG00000253552,HOXA-AS2,27107777,27134302
ENSG00000259519,AC051619.3,45170344,45199958
ENSG00000271500,AC005183.1,1695830,1698044
ENSG00000259932,AC051619.6,45198517,45199139
ENSG00000285627,AC005343.4,1741197,1747099
ENSG00000260035,AC051619.7,45200325,45200632
ENSG00000167470,MIDN,1248553,1259140
ENSG00000279014,AC051619.9,45214448,45215044
ENSG00000243663,RPS4XP14,1757231,1758011
ENSG00000261709,AC051619.8,45214906,45215033
ENSG00000259338,H3P39,45215547,45215943
ENSG00000259520,AC051619.4,45235930,45279251
ENSG00000111913,RIPOR2,24804282,25042170
ENSG00000206796,RNU6-811P,37135237,37135343
ENSG00000234918,AL157387.1,37240887,37242049
ENSG00000136937,NCBP1,97633668,97673748
ENSG00000130985,UBA1,47190861,47215128
ENSG00000197576,HOXA4,27128507,27130780
ENSG00000235687,LINC00993,37248118,37347031
ENSG00000137860,SLC28A2,45252234,45277846
ENSG00000163697,APBB2,40810027,41216714
ENSG00000244402,RN7SL314P,37297398,37297689
ENSG00000273433,AC004080.6,27128969,27152561
ENSG00000252621,Y_RNA,37303000,37303109
ENSG00000237970,TMEM161BP1,37337415,37338871
ENSG00000236313,VN1R53P,37348616,37349572
ENSG00000254369,HOXA-AS3,27129977,27155928
ENSG00000224920,TACC1P1,37523011,37544701
ENSG00000225276,MTND1P18,37600796,37601368
ENSG00000256892,MTRNR2L7,37601440,37602974
ENSG00000226578,AL132657.1,37775371,37784131
ENSG00000106004,HOXA5,27141052,27143681
ENSG00000200731,RNU1-124P,43073474,43073618
ENSG00000106006,HOXA6,27145396,27150603
ENSG00000198105,ZNF248,37776526,37858106
ENSG00000131969,ABHD12B,50872053,50904970
ENSG00000272801,AC004080.5,27147366,27152598
ENSG00000185900,POMK,43093498,43131180
ENSG00000122592,HOXA7,27153716,27157936
ENSG00000270182,AC004080.4,27158344,27158976
ENSG00000285597,AC051619.10,45279423,45280474
ENSG00000078399,HOXA9,27162438,27175180
ENSG00000235390,AC051619.1,45321077,45321692
ENSG00000259433,AC051619.2,45330209,45332634
ENSG00000238941,RNU6-953P,45354779,45354885
ENSG00000257184,AC004080.3,27163535,27180013
ENSG00000231521,AL162385.2,97634515,97636051
ENSG00000171766,GATM,45361124,45402327
ENSG00000253187,HOXA10-AS,27168619,27171915
ENSG00000136936,XPA,97674909,97697340
ENSG00000283745,MIR196B,27169480,27169563
ENSG00000253293,HOXA10,27170592,27180261
ENSG00000260137,AL132657.2,37791580,37791937
ENSG00000225192,ZNF33BP1,37794276,37796109
ENSG00000228828,TLK2P2,37818606,37820982
ENSG00000236514,AL135791.1,37857740,37859110
ENSG00000214417,KRT18P13,97698922,97700734
ENSG00000151963,ZNF37CP,37883594,37884109
ENSG00000236130,PTCSC2,97699625,97853080
ENSG00000235197,ZNF33CP,37894637,37896666
ENSG00000175395,ZNF25,37949573,37976647
ENSG00000005073,HOXA11,27181157,27185232
ENSG00000258745,AL358334.3,50912226,50913358
ENSG00000258711,AL358334.2,50956259,50962002
ENSG00000260677,AL445531.1,97743208,97744935
ENSG00000178919,FOXE1,97853226,97856717
ENSG00000254198,AC113191.1,43125995,43126397
ENSG00000260778,AC009065.4,2268155,2273418
ENSG00000100505,TRIM9,50975262,51096061
ENSG00000240990,HOXA11-AS,27184507,27189298
ENSG00000266643,MIR3677,2270713,2270772
ENSG00000284346,MIR940,2271747,2271840
ENSG00000264004,MIR4717,2274620,2274691
ENSG00000226447,ZNF25-DT,37976825,37992467
ENSG00000136932,TRMO,97904489,97922516
ENSG00000206840,Y_RNA,37994863,37994975
ENSG00000165102,HGSNAT,43140464,43202855
ENSG00000151062,CACNA2D4,1791963,1918666
ENSG00000273961,AC004080.7,27185433,27185530
ENSG00000278334,AC004080.14,27185832,27186018
ENSG00000276496,AC004080.8,27186166,27186263
ENSG00000253508,AC004080.2,27186573,27193448
ENSG00000189180,ZNF33A,38010650,38065088
ENSG00000277966,AC004080.12,27186892,27187124
ENSG00000278592,AC004080.15,27187819,27188021
ENSG00000278020,AC004080.13,27188816,27188994
ENSG00000167972,ABCA3,2275881,2340746
ENSG00000106031,HOXA13,27193503,27200091
ENSG00000243766,HOTTIP,27198575,27207259
ENSG00000201830,Y_RNA,97915690,97915796
ENSG00000287070,AL499604.1,97921590,97922181
ENSG00000275672,AC025580.3,45378700,45380123
ENSG00000276609,AC004080.9,27200465,27200521
ENSG00000136929,HEMGN,97926791,97944856
ENSG00000278708,AC004080.16,27201844,27202219
ENSG00000277469,AC004080.10,27202302,27202638
ENSG00000277553,AC004080.11,27206139,27206303
ENSG00000287990,AL358334.4,51022967,51031032
ENSG00000286323,AC004080.17,27210801,27212965
ENSG00000171763,SPATA5L1,45402336,45421415
ENSG00000259055,AL591770.1,51088957,51091288
ENSG00000253308,AC004080.1,27239243,27241228
ENSG00000253405,EVX1-AS,27241429,27247229
ENSG00000139921,TMX1,51240162,51257655
ENSG00000106038,EVX1,27242700,27250493
ENSG00000136938,ANP32B,97983341,98015943
ENSG00000213783,RPL35P4,27269357,27269678
ENSG00000236896,AL354726.1,97986551,97987656
ENSG00000236569,HNRNPA1P73,27328607,27329534
ENSG00000212521,RNU6-918P,98032230,98032335
ENSG00000201376,SNORA70,51244090,51244224
ENSG00000224322,AC004009.1,27361591,27410358
ENSG00000166920,C15orf48,45430579,45448761
ENSG00000201820,Y_RNA,51253933,51254023
ENSG00000258955,LINC00519,51304108,51331918
ENSG00000095380,NANS,98056732,98083077
ENSG00000252132,RNU6-795P,38043873,38043975
ENSG00000275675,AL161931.1,38068449,38068694
ENSG00000258479,LINC00640,51333068,51365557
ENSG00000279655,AC004009.3,27380562,27381206
ENSG00000226086,EIF3LP3,38080056,38080877
ENSG00000279429,AC004009.2,27412164,27412891
ENSG00000235964,FXYD6P2,38091764,38092051
ENSG00000233830,EIF4HP1,27458163,27458849
ENSG00000213781,PSMC1P2,27461766,27462969
ENSG00000235574,AC073150.1,27491682,27492765
ENSG00000258942,AL358332.1,51344914,51385603
ENSG00000075407,ZNF37A,38094334,38150293
ENSG00000258808,LINC02310,51392128,51397135
ENSG00000258893,SETP2,51436038,51436963
ENSG00000258537,FRMD6-AS2,51454512,51599952
ENSG00000106785,TRIM14,98069275,98119222
ENSG00000106049,HIBADH,27525442,27662883
ENSG00000253611,VN1R46P,43219960,43220809
ENSG00000259342,AC025580.1,45430652,45441808
ENSG00000284386,MIR147B,45433050,45433129
ENSG00000253884,AC022616.5,43246755,43246935
ENSG00000259354,AC025580.2,45448427,45513767
ENSG00000255166,AC022616.7,43247191,43247410
ENSG00000253312,AC022616.3,43251711,43251858
ENSG00000139926,FRMD6,51489100,51730727
ENSG00000253186,AC022616.2,43253732,43254089
ENSG00000253606,AFG3L2P1,43270198,43271960
ENSG00000104154,SLC30A4,45479606,45522755
ENSG00000234713,AC022616.1,43276270,43276823
ENSG00000283930,AL117339.4,38094368,38360098
ENSG00000253707,AC022616.4,43284626,43284806
ENSG00000272983,AL117339.3,38137337,38144399
ENSG00000188877,POTEA,43292483,43363518
ENSG00000225965,AL117339.1,38161570,38161749
ENSG00000224761,CCNYL4,38164648,38212417
ENSG00000274011,Metazoa_SRP,98115885,98116135
ENSG00000179362,HMGN2P46,45511136,45586290
ENSG00000106789,CORO2A,98120975,98192637
ENSG00000226113,AL133217.1,38247922,38333155
ENSG00000207516,SNORA41B,45537250,45537377
ENSG00000259681,AC090527.1,45558598,45562877
ENSG00000234941,AL117339.2,38250442,38250603
ENSG00000259427,DPPA5P2,45566776,45567074
ENSG00000095383,TBC1D2,98199011,98255649
ENSG00000275709,AC090527.3,45585757,45586304
ENSG00000099251,HSD17B7P2,38356380,38378505
ENSG00000224975,INE1,47204921,47205865
ENSG00000286478,AC007130.1,27617474,27627496
ENSG00000229893,TAX1BP1-AS1,27733064,27740395
ENSG00000104164,BLOC1S6,45587214,45615945
ENSG00000099622,CIRBP,1259384,1274880
ENSG00000238509,RNU6-104P,43303376,43303482
ENSG00000255497,AC022616.8,43313948,43314200
ENSG00000254342,AC022616.6,43372559,43372677
ENSG00000201329,U3,43378297,43378510
ENSG00000250637,AC134698.1,43442902,43452912
ENSG00000120555,SEPTIN7P9,38383069,38402916
ENSG00000254069,AC134698.4,43493937,43494762
ENSG00000253319,AC134698.3,43511820,43512033
ENSG00000102225,CDK16,47217860,47229997
ENSG00000253418,SNX18P27,43513643,43514421
ENSG00000254145,AC134698.5,43539137,43539472
ENSG00000106052,TAX1BP1,27739331,27844564
ENSG00000253748,CYP4F44P,43539973,43540927
ENSG00000276805,AL133216.2,38403189,38452153
ENSG00000253195,AC134698.2,43542076,43544057
ENSG00000253845,AC139365.2,43672823,43673075
ENSG00000278412,MIR6854,98229149,98229217
ENSG00000253198,AC139365.1,43674270,43674591
ENSG00000224001,AL360081.1,98234709,98235567
ENSG00000276685,AC118650.1,46028804,46028892
ENSG00000253425,HSPA8P13,46549089,46550802
ENSG00000248498,ASNSP1,46579213,46638886
ENSG00000217083,MTCO2P33,24947880,24948344
ENSG00000136928,GABBR2,98288109,98708935
ENSG00000214975,PPIAP29,24976419,24976982
ENSG00000286633,AL160400.1,25012985,25015696
ENSG00000220517,ASS1P1,25023247,25024483
ENSG00000222314,RNU6-1118P,38423625,38423728
ENSG00000244618,RN7SL334P,25031009,25031287
ENSG00000228882,CICP9,38452987,38455365
ENSG00000229313,AL133268.3,25041839,25056664
ENSG00000203496,AL133216.1,38453181,38466176
ENSG00000223623,AL133268.2,25053627,25057073
ENSG00000215151,ABCD1P2,38601418,38605609
ENSG00000277133,AL133173.2,38617255,38617344
ENSG00000225638,PABPC1P12,38635908,38638082
ENSG00000233867,SLC9B1P3,38640971,38689068
ENSG00000254070,AC104576.1,46671839,46671926
ENSG00000251470,ASNSP4,46697630,46698688
ENSG00000168405,CMAHP,25061626,25452263
ENSG00000228984,AC021451.1,46784800,46785928
ENSG00000250857,TRIM60P15,46792065,46793064
ENSG00000227264,ACTR3BP5,38696424,38697902
ENSG00000286484,AC021451.2,46810696,46819098
ENSG00000234541,CHEK2P5,38713195,38719229
ENSG00000227679,AL133173.1,38762095,38762491
ENSG00000286554,AC021451.3,46814925,46817964
ENSG00000233832,AL590623.1,38783004,38783108
ENSG00000229485,KSR1P1,42149310,42149549
ENSG00000237592,IGKV1OR10-1,42185339,42185791
ENSG00000271650,AL031601.1,42209990,42210383
ENSG00000274167,AL031601.2,42242721,42276842
ENSG00000250906,AC131953.1,40812779,40826151
ENSG00000252400,RNU6-1291P,51522864,51522967
ENSG00000277050,AL122125.1,51637348,51637947
ENSG00000243445,AC106820.1,2332313,2332732
ENSG00000228755,PABPC1P8,42279734,42281819
ENSG00000273888,FRMD6-AS1,51649516,51651744
ENSG00000207195,Y_RNA,40826655,40826765
ENSG00000215146,BX322639.1,42331866,42367974
ENSG00000201736,RNA5SP160,40990154,40990273
ENSG00000251756,RNA5SP385,51692752,51692861
ENSG00000199790,RNU6-836P,41084607,41084713
ENSG00000207004,RNU6-301P,51724103,51724209
ENSG00000238098,ABCA17P,2339150,2426699
ENSG00000259111,AL079307.2,51750560,51763114
ENSG00000207198,RNU6-1195P,41113942,41114045
ENSG00000251173,UCHL1-AS1,41220074,41256727
ENSG00000258423,OR7E105P,51756996,51757988
ENSG00000258550,OR7E106P,51763056,51764076
ENSG00000258535,AL079307.1,51765276,51825422
ENSG00000260170,AC090527.2,45587351,45676314
ENSG00000182632,CCNYL2,42408168,42475349
ENSG00000258849,OR7E159P,51771789,51772086
ENSG00000259157,AL079307.3,51787461,51787743
ENSG00000200419,Y_RNA,45591984,45592085
ENSG00000253314,LINC00293,46822174,46907309
ENSG00000186469,GNG2,51826195,51979342
ENSG00000137767,SQOR,45631148,45691281
ENSG00000162063,CCNF,2429394,2458854
ENSG00000154277,UCHL1,41256413,41268455
ENSG00000279239,AL391099.1,42470082,42470268
ENSG00000285801,AL133268.4,25061796,25134971
ENSG00000185904,LINC00839,42475480,42495337
ENSG00000219682,AL133268.1,25140003,25141403
ENSG00000262400,AL590084.3,25152547,25152883
ENSG00000217805,AL590084.1,25181359,25181745
ENSG00000219681,AL590084.2,25218688,25219069
ENSG00000271108,KATNBL1P5,25248263,25248779
ENSG00000216718,AL024509.2,25261239,25261731
ENSG00000213972,AL024509.1,25272200,25273751
ENSG00000229897,SEPTIN7P7,98606833,98608133
ENSG00000234420,ZNF37BP,42513510,42552822
ENSG00000165138,ANKS6,98731329,98796965
ENSG00000270762,FXYD6P1,42555440,42555724
ENSG00000233837,EIF3LP2,42566677,42567483
ENSG00000285970,AC106820.6,2430702,2437103
ENSG00000079691,CARMIL1,25279078,25620530
ENSG00000283180,MIR6767,2445392,2445457
ENSG00000260095,AC106820.3,2452581,2452977
ENSG00000196693,ZNF33B,42574185,42638570
ENSG00000260874,AC106820.5,2456252,2459979
ENSG00000258928,AL358333.2,51916145,51918571
ENSG00000259007,AL358333.3,51967003,51969800
ENSG00000258854,AL358333.1,51982520,51987219
ENSG00000087302,RTRAF,51989514,52010694
ENSG00000277479,AL022345.3,42578500,42578727
ENSG00000162062,TEDC2,2460086,2464963
ENSG00000285706,AL807776.1,98798466,98807564
ENSG00000272319,AL022345.1,42579724,42579858
ENSG00000272387,AL022345.2,42583241,42583375
ENSG00000119514,GALNT12,98807670,98850081
ENSG00000251783,RNU6-1170P,42605158,42605263
ENSG00000285884,AL022345.4,42638314,42645542
ENSG00000233515,LINC01518,42644445,42691723
ENSG00000232109,VN1R54P,42660728,42661776
ENSG00000231009,CUBNP1,42694371,42714575
ENSG00000234864,LINC02632,42696012,42706453
ENSG00000230425,RSU1P1,42725857,42737159
ENSG00000270552,DUXAP3,42747544,42748687
ENSG00000259869,AL022344.1,42751178,42754297
ENSG00000273972,AC068722.2,45702640,45703183
ENSG00000259200,AC068722.1,45705078,45931069
ENSG00000267026,AL136084.1,98847172,98872415
ENSG00000165733,BMS1,42782795,42834937
ENSG00000259743,AC068714.1,46099193,46100392
ENSG00000287020,AC091074.3,46317393,46351753
ENSG00000153814,JAZF1,27830573,28180795
ENSG00000259593,MTND5P40,46341354,46341599
ENSG00000238819,AC091074.1,46351662,46351746
ENSG00000285934,AC091074.2,46365836,46381043
ENSG00000287704,AC012405.1,46410309,46661103
ENSG00000238456,RNU6-1014P,46660658,46660760
ENSG00000259255,AC073941.1,46693288,46804844
ENSG00000223308,RN7SKP101,46720193,46720512
ENSG00000259509,AC073941.2,46827526,46827958
ENSG00000087303,NID2,52004803,52069228
ENSG00000284540,AC066615.1,47133495,47134122
ENSG00000207286,Y_RNA,25287432,25287533
ENSG00000207490,RNU6-987P,25383599,25383702
ENSG00000286933,AL022170.1,25632673,25640931
ENSG00000229338,NME2P3,98890590,98891937
ENSG00000204291,COL15A1,98943179,99070792
ENSG00000079689,SCGN,25652201,25701783
ENSG00000252416,RNU6-885P,42832447,42832550
ENSG00000234944,LINC02623,42871521,42874060
ENSG00000229630,LINC01264,42979017,42981507
ENSG00000287489,AC004549.1,27873785,27876546
ENSG00000263795,MIR5100,42997563,42997681
ENSG00000206623,RNU6-979P,28118113,28118219
ENSG00000234336,JAZF1-AS1,28180322,28243917
ENSG00000137872,SEMA6D,47184101,47774228
ENSG00000174495,PPIAP80,28279211,28279700
ENSG00000102226,USP11,47232866,47248328
ENSG00000165731,RET,43077064,43130351
ENSG00000217408,PRELID1P2,25678769,25679164
ENSG00000164508,H2AC1,25726063,25726562
ENSG00000146047,H2BC1,25726777,25727345
ENSG00000178762,H2BC2P,25731782,25732091
ENSG00000216436,H2AC2P,25732497,25732827
ENSG00000146592,CREB5,28299321,28825894
ENSG00000146039,SLC17A4,25754699,25781199
ENSG00000207481,Y_RNA,41303237,41303337
ENSG00000258694,LINC02319,52111122,52129625
ENSG00000258981,COX5AP2,52117602,52117995
ENSG00000258440,AL118557.1,52155740,52156179
ENSG00000168229,PTGDR,52267698,52276724
ENSG00000274805,MIR6768,2463967,2464038
ENSG00000259895,AC106820.2,2464950,2468213
ENSG00000162068,NTN3,2471297,2474145
ENSG00000270412,AL136084.2,98943337,98943775
ENSG00000261208,AL365475.1,52286797,52289268
ENSG00000125384,PTGER2,52314305,52328598
ENSG00000106799,TGFBR1,99104038,99154192
ENSG00000124568,SLC17A1,25782915,25832052
ENSG00000087301,TXNDC16,52430596,52552522
ENSG00000162065,TBC1D24,2475051,2509560
